Date,Volume,RSI,MACD,MACD_Signal,BB_High,BB_Low,GDP,CPI,UNEMP,FEDFUNDS
2015-09-30,34958900,52.35176905359712,-0.121728029734264,-0.20702163155722905,38.882603592507984,37.31095490968928,18401.626,237.498,5.0,0.14
2015-10-01,28657900,54.66379940083608,-0.05494545555021091,-0.17660639635582542,39.0079449967213,37.29471346580312,18435.137,237.733,5.0,0.12
2015-10-02,41839000,60.3473550282881,0.06484472812189068,-0.1283161714602822,39.34661184242933,37.13671907492907,18435.137,237.733,5.0,0.12
2015-10-05,34369300,65.49149261035836,0.2317612715794155,-0.056300682852342666,39.86088455127667,36.97331535411884,18435.137,237.733,5.0,0.12
2015-10-06,27017200,66.02880532267132,0.3682505261763538,0.02860955895339662,40.3192897478313,36.76453402841381,18435.137,237.733,5.0,0.12
2015-10-07,27711500,66.26447735294357,0.474470924826079,0.1177818321279331,40.68853882832916,36.72084380106537,18435.137,237.733,5.0,0.12
2015-10-08,33772700,69.25117806017386,0.597541396891593,0.2137337450806651,41.14524708792572,36.62722376778718,18435.137,237.733,5.0,0.12
2015-10-09,28600600,65.9616006635207,0.6634822487739953,0.30368344581933115,41.45784354055614,36.63145775949269,18435.137,237.733,5.0,0.12
2015-10-12,19769100,64.8875789588302,0.6999248676561649,0.3829317301866979,41.67684519536833,36.758088276311355,18435.137,237.733,5.0,0.12
2015-10-13,19987800,63.769555485430175,0.7128422520525888,0.4489138345598761,41.880129807921634,36.80879116680981,18435.137,237.733,5.0,0.12
2015-10-14,24697800,61.58764080512205,0.7002175364148684,0.4991745749308746,42.03391240195578,36.86273791237527,18435.137,237.733,5.0,0.12
2015-10-15,27189400,63.690064039613254,0.7053230359008822,0.5404042671248761,42.212896844450626,36.924649694856015,18435.137,237.733,5.0,0.12
2015-10-16,26450300,66.66696742947525,0.7360978464316474,0.5795429829862304,42.40248982436907,37.08679888717879,18435.137,237.733,5.0,0.12
2015-10-19,29387600,67.30215252050245,0.7594799762184152,0.6155303816326674,42.60367550513039,37.19196963647118,18435.137,237.733,5.0,0.12
2015-10-20,30802200,68.1922398360517,0.7795886682238589,0.6483420389509057,42.77827962695796,37.35514360607427,18435.137,237.733,5.0,0.12
2015-10-21,25144300,61.3572818044351,0.7467715079443238,0.6680279327495894,42.83732881023835,37.58674002215912,18435.137,237.733,5.0,0.12
2015-10-22,56637100,66.60592658316423,0.7703391354364868,0.6884901732869689,42.96764422112442,37.816021245184174,18435.137,237.733,5.0,0.12
2015-10-23,135227100,81.97804698716263,1.1170135378916513,0.7741948462079055,44.2188588988541,37.34422360541836,18435.137,237.733,5.0,0.12
2015-10-26,64633300,84.20990938795971,1.4719785458771213,0.9137515861417487,45.470710857997716,37.048969546665376,18435.137,237.733,5.0,0.12
2015-10-27,50999900,79.8865632728974,1.694321100213493,1.0698654889560977,46.28623993079433,37.12807166893712,18435.137,237.733,5.0,0.12
2015-10-28,47000800,80.44641739209328,1.8694033299050261,1.2297730571458834,47.05093038008561,37.21175081803451,18435.137,237.733,5.0,0.12
2015-10-29,30202100,75.60127947138268,1.9421049002421285,1.3722394257651325,47.5652090134625,37.46118068075136,18435.137,237.733,5.0,0.12
2015-10-30,46619800,70.3055831202612,1.9268017535004986,1.4831518913122057,47.920387094782434,37.723077947331824,18435.137,237.733,5.0,0.12
2015-11-02,30285000,72.06185909874633,1.9346297317941534,1.5734474594085954,48.34678101105918,37.87361083464394,18435.137,238.017,5.1,0.12
2015-11-03,36596900,74.52302895313757,1.9820753226730758,1.6551730320614917,48.854320233151995,38.011950213625354,18435.137,238.017,5.1,0.12
2015-11-04,37087800,75.17013403230627,2.014065450613437,1.7269515157718809,49.32256717561263,38.20703716398698,18435.137,238.017,5.1,0.12
2015-11-05,31468500,75.00599176742442,2.014784122550452,1.7845180371275953,49.73769503649153,38.39676541272722,18435.137,238.017,5.1,0.12
2015-11-06,32851200,76.49819597458011,2.0299846423446226,1.8336113581710007,50.14751269912634,38.668610500336555,18435.137,238.017,5.1,0.12
2015-11-09,32513100,70.15039270184809,1.9658449334743011,1.860058073231661,50.368297455895004,39.07275707901711,18435.137,238.017,5.1,0.12
2015-11-10,55283700,65.16947148401472,1.847932882552847,1.8576330350958983,50.438107158517035,39.580745456839416,18435.137,238.017,5.1,0.12
2015-11-11,36516300,65.73385726035801,1.7442410353155537,1.8349546351398294,50.42433600120703,40.202864316175784,18435.137,238.017,5.1,0.12
2015-11-12,35361100,63.13700557272943,1.6201463349402943,1.7919929750999224,50.32686138943352,40.85108050509773,18435.137,238.017,5.1,0.12
2015-11-13,36848200,59.457802974312614,1.4710384059661905,1.7278020612731761,50.1677801145127,41.47536945213769,18435.137,238.017,5.1,0.12
2015-11-16,32165200,63.852999803145245,1.4022038074559546,1.662682410509732,49.99132890169282,42.188597779825734,18435.137,238.017,5.1,0.12
2015-11-17,31551300,60.48914423177532,1.3014510673472728,1.5904361418772401,49.67341920231725,42.991527925978644,18435.137,238.017,5.1,0.12
2015-11-18,29710000,64.51538798065711,1.269366799709445,1.5262222734436812,49.02720437937412,44.24984029836026,18435.137,238.017,5.1,0.12
2015-11-19,28149200,64.909281830798,1.2360733220106184,1.4681924831570687,47.946663324672905,45.87794528738764,18435.137,238.017,5.1,0.12
2015-11-20,37147600,66.03685043068316,1.2134252544860686,1.4172390374228687,48.0006149181462,45.97108460577958,18435.137,238.017,5.1,0.12
2015-11-23,28235900,66.03685043068316,1.1818528340097245,1.37016179674024,48.03937786647546,45.958965029032356,18435.137,238.017,5.1,0.12
2015-11-24,24600000,66.33790385334702,1.1478534080135674,1.3257001189949056,48.117261206111436,45.96187239984559,18435.137,238.017,5.1,0.12
2015-11-25,21005100,60.91042564112638,1.068881647864714,1.2743364247688673,48.12161328321947,45.96379397386061,18435.137,238.017,5.1,0.12
2015-11-27,9009100,62.33289688865181,1.0116523830894906,1.221799616432992,48.1498009798937,46.017083633143415,18435.137,238.017,5.1,0.12
2015-11-30,56241400,64.75016770506707,0.9847256499780741,1.1743848231420086,48.14132598286472,46.20678345317044,18435.137,238.017,5.1,0.12
2015-12-01,39952800,69.16452744915658,1.0133896427651905,1.1421857870666452,48.35229710519648,46.20111437856817,18435.137,237.761,5.0,0.24
2015-12-02,47274900,69.05735794294023,1.0235968566465203,1.1184680009826202,48.54199122450502,46.1364168260321,18435.137,237.761,5.0,0.24
2015-12-03,38627800,59.10686013013247,0.9491336928877274,1.0846011393636417,48.55423788194248,46.138600786880765,18435.137,237.761,5.0,0.24
2015-12-04,43963700,67.6151045391928,0.9998395781498601,1.0676488271208855,48.86593090883014,45.99333994993451,18435.137,237.761,5.0,0.24
2015-12-07,30709800,66.74056265227262,1.021162531688617,1.0583515680344318,49.071786462388765,45.89799770203995,18435.137,237.761,5.0,0.24
2015-12-08,32878000,66.55519274304021,1.024829734593034,1.0516472013461522,49.290318561354,45.854554866990725,18435.137,237.761,5.0,0.24
2015-12-09,36373200,59.362560768718026,0.9592464520214463,1.033167051481211,49.350818307659004,45.95470308516327,18435.137,237.761,5.0,0.24
2015-12-10,31775800,60.98810574153622,0.9172596179768675,1.0099855647803424,49.43766875293562,46.04176239940813,18435.137,237.761,5.0,0.24
2015-12-11,39549500,51.69631812468696,0.7890964134824898,0.965807734520772,49.399213614341114,46.17660997879853,18435.137,237.761,5.0,0.24
2015-12-14,46768900,57.866637537207914,0.755393990173971,0.9237249856514118,49.344280238903785,46.46472855015872,18435.137,237.761,5.0,0.24
2015-12-15,39843000,58.186095446185426,0.7245847754653525,0.8838969436142,49.372557651227915,46.59373568373302,18435.137,237.761,5.0,0.24
2015-12-16,37503300,62.88502631726253,0.7573776284683476,0.8585930805850296,49.46259047717812,46.781369712641215,18435.137,237.761,5.0,0.24
2015-12-17,41280900,59.55271264413442,0.7442983210610379,0.8357341286802313,49.53601404979251,46.87050374195553,18435.137,237.761,5.0,0.24
2015-12-18,84684200,49.28392974163989,0.615520842681839,0.791691471480553,49.5260132152193,46.89719959911175,18435.137,237.761,5.0,0.24
2015-12-21,37246300,53.16188379733415,0.5566786777646229,0.744688912737367,49.52574189450321,46.95370794985713,18435.137,237.761,5.0,0.24
2015-12-22,28322200,55.86181814369793,0.5406819454795979,0.7038875192858133,49.55443536418367,47.02694242817473,18435.137,237.761,5.0,0.24
2015-12-23,27279800,58.206896473094424,0.5549326965141788,0.6740965547314864,49.630729643247385,47.088604005434256,18435.137,237.761,5.0,0.24
2015-12-24,9558500,57.16297165302489,0.5492584901212112,0.6491289418094315,49.61611482641855,47.27719953515371,18435.137,237.761,5.0,0.24
2015-12-28,22458300,58.65356645083864,0.5581809850831618,0.6309393504641776,49.6374388954151,47.43337027816888,18435.137,237.761,5.0,0.24
2015-12-29,27731400,61.72680797100819,0.6008677725302576,0.6249250348773936,49.78206780770226,47.4820530571659,18435.137,237.761,5.0,0.24
2015-12-30,21704500,59.811776679343915,0.6106419823042799,0.6220684243627709,49.88593343203098,47.47396532590359,18435.137,237.761,5.0,0.24
2015-12-31,27334100,53.61641098798689,0.5531615407863129,0.6082870476474793,49.895642057778,47.48798220980013,18435.137,237.761,5.0,0.24
2016-01-04,53778000,49.126725017610866,0.45415784458761976,0.5774612070355074,49.848244114984446,47.58810079468352,18525.933,237.652,4.8,0.34
2016-01-05,34079700,50.75930707217529,0.3889399556709563,0.5397569567625973,49.80368276356038,47.55709528209392,18525.933,237.652,4.8,0.34
2016-01-06,39518900,44.59486081695135,0.26331551224937044,0.48446866785995196,49.825311233377406,47.38081745924954,18525.933,237.652,4.8,0.34
2016-01-07,56564900,35.79387958057309,0.030111198247823268,0.39359717393752625,50.14196467146076,46.74607625261151,18525.933,237.652,4.8,0.34
2016-01-08,48754000,36.934785705143675,-0.14172484613390424,0.28653276992324017,50.33697189397941,46.318217238711014,18525.933,237.652,4.8,0.34
2016-01-11,36943800,36.80274369020957,-0.2768421887519068,0.1738577781882108,50.45176890546039,45.94244992083356,18525.933,237.652,4.8,0.34
2016-01-12,36095500,40.46943298955627,-0.34590313230631153,0.06990559608930633,50.515011567865194,45.76673472424907,18525.933,237.652,4.8,0.34
2016-01-13,66883600,35.23986448233329,-0.47597781075014467,-0.03927108527858388,50.64266672355292,45.33153638618829,18525.933,237.652,4.8,0.34
2016-01-14,52381900,45.09283959164795,-0.4694227548466685,-0.1253014191922008,50.599586861372046,45.19097214436526,18525.933,237.652,4.8,0.34
2016-01-15,71820700,36.47407689552325,-0.607540305507527,-0.22174919645526606,50.60431551386213,44.734596687065604,18525.933,237.652,4.8,0.34
2016-01-19,43564500,35.01232841008439,-0.7389694593056575,-0.32519324902534436,50.63552016953415,44.25174484511428,18525.933,237.652,4.8,0.34
2016-01-20,63273000,36.4787211622824,-0.8173978688699606,-0.42363417299426764,50.71505695020123,43.87872394884663,18525.933,237.652,4.8,0.34
2016-01-21,40191200,35.32185131758605,-0.8912591555047342,-0.517159169496361,50.72677183037826,43.48477716559342,18525.933,237.652,4.8,0.34
2016-01-22,37555800,46.075046939935355,-0.8120976625754963,-0.5761468681121881,50.55461890621343,43.38805191593013,18525.933,237.652,4.8,0.34
2016-01-25,34707700,43.90360133676023,-0.7758691405241507,-0.6160913225945807,50.29858300406932,43.28997595589161,18525.933,237.652,4.8,0.34
2016-01-26,28900800,45.98689741156515,-0.7120090496308151,-0.6352748680018275,50.0266877060399,43.254328834487445,18525.933,237.652,4.8,0.34
2016-01-27,36775200,41.80652871980627,-0.7204519853060916,-0.6523102914626804,49.68154869184813,43.18384590043703,18525.933,237.652,4.8,0.34
2016-01-28,62513800,46.44253990965281,-0.6599766135427814,-0.6538435558787006,49.12887767487339,43.341983378593405,18525.933,237.652,4.8,0.34
2016-01-29,83611700,59.09992335991008,-0.39268543857222227,-0.601611932417405,48.86501443815316,43.49864599275504,18525.933,237.652,4.8,0.34
2016-02-01,44208500,57.27188276364274,-0.2054301615787466,-0.5223755782496733,48.71538674258754,43.580615073208364,18525.933,237.336,4.9,0.38
2016-02-02,56313800,49.80595172122266,-0.17624262869783536,-0.4531489883393057,48.47697715136771,43.6608604493403,18525.933,237.336,4.9,0.38
2016-02-03,57559800,46.59283462724883,-0.2102463688726388,-0.4045684644459724,48.106345414376285,43.77754931523797,18525.933,237.336,4.9,0.38
2016-02-04,46987100,45.98432402310979,-0.2457064114861609,-0.3727960538540101,47.897204011424066,43.806558805958744,18525.933,237.336,4.9,0.38
2016-02-05,62009000,39.58195022831771,-0.3996634897934541,-0.3781695410418989,47.95068878514542,43.57645812647567,18525.933,237.336,4.9,0.38
2016-02-08,59290500,37.30218037572032,-0.5683016121006474,-0.41619595525364866,48.04571644972535,43.22485163499145,18525.933,237.336,4.9,0.38
2016-02-09,46740500,36.90534132712655,-0.7030627958656197,-0.4735693233760429,48.1118496382186,42.89335132003335,18525.933,237.336,4.9,0.38
2016-02-10,38237000,39.20883107044858,-0.7704906572114112,-0.5329535901431166,48.05973327190151,42.67570908039342,18525.933,237.336,4.9,0.38
2016-02-11,48878600,39.13724675720519,-0.8159404769870449,-0.5895509675119023,48.07477740598483,42.489320189230014,18525.933,237.336,4.9,0.38
2016-02-12,34243300,43.625253913749944,-0.785473671570827,-0.6287355083236873,47.91107709140731,42.42368052272843,18525.933,237.336,4.9,0.38
2016-02-16,37291200,48.46004307070537,-0.6855835885798172,-0.6401051243749133,47.92655730090622,42.44922013439652,18525.933,237.336,4.9,0.38
2016-02-17,40789000,54.36117167041816,-0.5056139680923337,-0.6132068931183974,48.04940746853871,42.52287799288707,18525.933,237.336,4.9,0.38
2016-02-18,27176000,53.22618075078365,-0.3750882364562145,-0.5655831617859608,48.136767282456994,42.591460714369184,18525.933,237.336,4.9,0.38
2016-02-19,33559100,51.368274932756776,-0.29467011101034046,-0.5114005516308368,48.17998637084808,42.69868031616364,18525.933,237.336,4.9,0.38
2016-02-22,25008300,55.150387197317336,-0.1697103826665085,-0.4430625178379711,48.2507340042183,42.69278101043014,18525.933,237.336,4.9,0.38
2016-02-23,28895300,48.026407176401015,-0.17365285526425822,-0.3891805853232286,48.24108299948596,42.68111968300915,18525.933,237.336,4.9,0.38
2016-02-24,33014500,48.8968612256806,-0.1620555132346908,-0.34375557090552106,48.21622356801711,42.667208438818825,18525.933,237.336,4.9,0.38
2016-02-25,26939500,52.42468551718535,-0.0988794829119044,-0.29478035330679775,48.27832468174211,42.71530210353621,18525.933,237.336,4.9,0.38
