Date,Volume,RSI,MACD,MACD_Signal,BB_High,BB_Low
2000-01-03,53228400,100.0,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-04,54119000,0.0,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-05,64059600,24.51590121312387,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-06,54976600,13.26879722662703,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-07,62013600,26.888347013266014,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-10,44963600,33.26707531973621,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-11,46743600,24.96656583741921,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-12,66532400,18.730226346021652,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-13,83144000,29.393151072098178,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-14,73416400,46.2454950253243,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-18,81483600,54.34435780820268,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-19,97568200,37.72852470122137,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-20,56349800,36.29088834024495,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-21,68416200,33.223564557485815,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-24,63597600,30.17205960898717,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-25,59823200,34.23760698148378,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-26,49365000,30.087354175029233,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-27,63654800,29.389762933368544,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-28,58225400,28.8141957404075,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-01-31,73194200,28.365512209586043,-0.5553818410835518,-0.6913850681315385,36.40048538038933,29.261973802349928
2000-02-01,70196600,41.58867944650571,-0.5553818410835518,-0.6913850681315385,35.971514616435826,29.27333401637668
2000-02-02,49915600,38.38565626751422,-0.5553818410835518,-0.6913850681315385,35.75184838824969,29.130943321650214
2000-02-03,49186000,44.48024653740857,-0.5553818410835518,-0.6913850681315385,35.40952915827479,29.16101165135656
2000-02-04,55365400,50.03882550034913,-0.5553818410835518,-0.6913850681315385,35.293507343861656,29.17166923847477
2000-02-07,40005800,50.15343430429754,-0.5553818410835518,-0.6913850681315385,35.09955630456981,29.21811661565724
2000-02-08,56229000,55.912829689690376,-0.5553818410835518,-0.6913850681315385,34.97058349340794,29.276209299865982
2000-02-09,55090000,45.716315718988945,-0.5344406550840048,-0.6913850681315385,34.815795218052465,29.266252244410918
2000-02-10,54527800,49.08450234293519,-0.4630433533576408,-0.6913850681315385,34.82039839595927,29.26739400058614
2000-02-11,115559000,40.81690301173389,-0.5500583469891289,-0.6913850681315385,34.724910755159044,29.121509914396615
2000-02-14,81028600,40.438774353904755,-0.6196051481692351,-0.6913850681315385,34.34759960629509,29.111859889249345
2000-02-15,71027600,39.11219085775878,-0.6930097699402289,-0.6913850681315385,33.58011597177445,29.3659526012236
2000-02-16,65202600,37.92974473451401,-0.7655462102879405,-0.6913850681315385,33.44790388025697,29.210816517692244
2000-02-17,80343400,41.96075831739149,-0.7647519227948294,-0.6913850681315385,33.30700963219006,29.156315296093634
2000-02-18,79063000,36.18727940983595,-0.8669674165881531,-0.6913850681315385,33.34557425894153,28.85147793374646
2000-02-22,66296200,34.77541704381629,-0.9677356426633601,-0.7466551830379029,33.453549231261974,28.515540658264392
2000-02-23,75847200,35.72071393693113,-1.0249588919328296,-0.8023159248168883,33.47068762129368,28.235958535017357
2000-02-24,69733200,36.847141831635724,-1.0458859717826066,-0.851029934210032,33.513041863437174,28.05184689999056
2000-02-25,65301400,32.61554778029408,-1.1344112481491706,-0.9077061969978598,33.653995361468624,27.682932433941527
2000-02-28,76131800,33.21619642547144,-1.1847287500130008,-0.9631107076008881,33.75445058335977,27.377503800490334
2000-02-29,58437400,30.642200958062958,-1.2641356018503878,-1.0233156864507882,33.906576330069484,26.96485101520639
2000-03-01,106889800,34.24806995873267,-1.2767953097851077,-1.074011611117652,33.85734344018966,26.642449231013956
2000-03-02,106932600,40.214900087747175,-1.2095098792505254,-1.1011112647442267,33.79772989553626,26.474100853975465
2000-03-03,101435200,45.88999211699816,-1.0757707142491633,-1.096043154645214,33.61518535826714,26.42676963593452
2000-03-06,93609400,38.100339826210984,-1.093206290622895,-1.0954757818407503,33.28277618766817,26.27069347022978
2000-03-07,135061000,42.407366849497926,-1.0393945825926885,-1.084259541991138,32.847978768047284,26.284049430194905
2000-03-08,94290000,47.13852130354982,-0.9196802888432316,-1.0513436913615568,32.02541865463396,26.6660122001634
2000-03-09,88198800,53.876219612924096,-0.7069068410268677,-0.982456321294619,31.779490818011155,26.78933967210115
2000-03-10,85589000,55.2600358452105,-0.5076994993470265,-0.8875049569051006,31.377359502752682,27.038219148675537
2000-03-13,61831800,50.376731683631846,-0.4191894687039195,-0.7938418592648644,31.28426584847781,27.07192845694211
2000-03-14,73489200,46.16620721631246,-0.4153618305790019,-0.7181458535276919,31.12124985418628,27.097019112488525
